id,title,type,url
HK92QE5B,Data Infrastructure at LinkedIn,Presentation,http://www.slideshare.net/amywtang/webscale-analyticsfb-24031929
TCGI9AX7,Data Mining and Business Analytics with R,Book,http://www.worldcat.org/search?q=isbn%3A9781118593745
N47JPCM7,Data Recipes: Using Hadoop to Explore Chaos,Blog Post,http://thedatachef.blogspot.com/2013/08/using-hadoop-to-explore-chaos.html
TQU6ZJKK,"Data Science tools: Are you ""all in"" or do you ""mix and match""?",Blog Post,http://strata.oreilly.com/2013/03/data-science-tools-all-in-or-mix-and-match.html
8GU9J7SQ,Data Wrangler,Software,http://vis.stanford.edu/wrangler/app/
EVA9EJAQ,Data analysis using SQL and Excel,Book,http://www.worldcat.org/search?q=isbn%3A
4EJRDZ9M,Data analysis with open source tools,Book,http://www.worldcat.org/search?q=isbn%3A9780596802356
8IJIA8RJ,Data and reality,Book,http://www.worldcat.org/search?q=isbn%3A1585009709
U73FV8PG,Data architecture: from zen to reality,Book,http://www.worldcat.org/search?q=isbn%3A
6FJHNX5Q,"Data governance how to design, deploy, and sustain an effective data governance program",Book,http://www.worldcat.org/search?q=isbn%3A
QIN9Z5RC,Data just right: practical big data analytics,Book,http://www.worldcat.org/search?q=isbn%3A9780321898654
ETT5PHXT,Data points visualization that means something,Book,http://www.worldcat.org/search?q=isbn%3A1299407412
DDKABZBN,Data science for business: [what you need to know about data mining and data-analytic thinking],Book,http://www.worldcat.org/search?q=isbn%3A1449361323
G5PEJ23C,Data source handbook,Book,http://www.worldcat.org/search?q=isbn%3A
PSS2PBF4,Data virtualization for business intelligence systems: revolutionizing data integration for data warehouses,Book,http://www.worldcat.org/search?q=isbn%3A
ADH59QUQ,Data visualization a successful design process,Book,http://www.worldcat.org/search?q=isbn%3A9781849693479
5338JKAN,Data warehousing in the age of big data,Book,http://www.worldcat.org/search?q=isbn%3A0124059201
699CREEB,Data's missing ingredient? Rhetoric. - Strata,Blog Post,http://strata.oreilly.com/2013/04/datas-missing-ingredient-rhetoric.html
VFJAPPUH,"Data, Data, Data: Thousands of Public Data Sources",Web Page,http://blog.bigml.com/2013/02/28/data-data-data-thousands-of-public-data-sources/
B784CAD7,Data-intensive text processing with MapReduce,Manuscript,http://lintool.github.io/MapReduceAlgorithms/index.html
CMSF8Q36,Data-intensive text processing with MapReduce,Book,http://www.worldcat.org/search?q=isbn%3A9781608453436
49HK2WGJ,DataFu,Software,https://github.com/linkedin/datafu
HG9K5QCN,Database Landscape Map,Web Page,http://blogs.the451group.com/information_management/files/2013/02/db_Map_2_13.jpg
WFMA46BG,Database.com-FDW,Software,https://github.com/metadaddy-sfdc/Database.com-FDW-for-PostgreSQL
JFGIKK9K,Databus,Software,https://github.com/linkedin/databus
CZGNTPU5,Datameer,Software,http://www.datameer.com/index.html
QIH5X427,Dataset.js,Software,https://github.com/misoproject/dataset
